,Expectiminimax scores,MCTS win rates
0,-9.992063492063474,0.13333333333333333
1,64.62857142857143,0.15384615384615385
2,63.47169811320752,0.041666666666666664
3,62.47727272727272,0.06451612903225806
4,71.4166666666667,0.0
5,71.73529411764702,0.0
6,80.69230769230774,0.0
7,88.1395348837209,0.0
8,102.80645161290323,0.0
9,101.59999999999995,0.0
10,108.94871794871787,0.0
11,109.0,0.0
12,152.0,0.0
13,157.0,0.0
14,174.0,0.0
15,228.0,0.0
16,278.0,0.0
17,328.0,0.0
18,375.0,0.0
19,385.0,0.0
20,397.0,0.0
21,398.0,0.0
22,397.0,0.0
23,397.0,0.0
24,-19.0357142857143,0.2777777777777778
25,-19.72340425531914,0.07407407407407407
26,56.49999999999998,0.16666666666666666
27,55.40677966101692,0.03636363636363636
28,55.02325581395347,0.0410958904109589
29,55.1372549019608,0.013793103448275862
30,55.578947368421055,0.0
31,54.93617021276592,0.0
32,59.86666666666666,0.0
33,59.84090909090907,0.0
34,70.8139534883721,0.0
35,67.0,0.0
36,57.0,0.2
37,65.0,0.4
38,66.0,0.07142857142857142
39,66.0,0.05714285714285714
40,67.0,0.02040816326530612
41,67.0,0.023809523809523808
42,75.0,0.02197802197802198
43,87.0,0.0
44,110.0,0.0
45,110.0,0.0
46,109.0,0.0
47,109.0,0.0
48,3.940476190476195,1.0
49,-3.1492537313432827,1.0
50,-3.666666666666666,1.0
51,-3.7254901960784323,0.92
52,-13.294117647058815,1.0
53,-13.816666666666665,1.0
54,-17.96491228070176,0.9886363636363636
55,-19.191489361702125,1.0
56,-18.268292682926834,1.0
57,-19.66666666666666,1.0
58,-21.168831168831172,1.0
59,-27.0,0.3
60,22.0,0.2
61,27.0,0.05555555555555555
62,78.0,0.07692307692307693
63,78.0,0.0
64,96.0,0.0
65,102.0,0.0
66,110.0,0.0
67,109.0,0.0
68,111.0,0.0
69,112.0,0.0
70,112.0,0.0
71,112.0,0.0
